Time,Mode,Status,Temperature_C,LoadCell,New_Data,Checksum
3.999938e+01,2,0,60.79999924,0.01880000,7,17646
4.045280e+01,2,0,60.79999924,0.01120000,7,48435
4.100692e+01,2,0,60.79999924,0.01540000,7,32631
4.153603e+01,2,0,60.79999924,0.01220000,5,62363
4.201444e+01,2,0,60.79999924,0.01070000,7,52028
4.254355e+01,2,0,60.79999924,0.01380000,5,53836
4.302198e+01,2,0,60.79999924,0.01720000,7,753
4.357609e+01,2,0,60.34999847,0.01820000,7,65239
4.402953e+01,2,0,60.34999847,0.01630000,7,27663
4.458366e+01,2,0,60.34999847,0.01530000,7,16831
4.503705e+01,2,0,60.34999847,0.01630000,7,36767
4.559113e+01,2,0,60.34999847,0.01880000,7,61090
4.612021e+01,2,0,59.00000000,0.02140000,5,52431
4.659859e+01,2,0,60.34999847,0.01570000,7,27601
4.712767e+01,2,0,60.34999847,0.01820000,5,2538
4.760606e+01,2,0,60.34999847,0.03130000,7,44184
4.816014e+01,2,0,60.34999847,0.03270000,7,7400
4.861354e+01,2,0,60.34999847,0.02770000,7,40417
4.916762e+01,2,0,60.34999847,0.03970000,7,52280
4.962102e+01,2,0,60.34999847,0.05540000,7,64840
5.017509e+01,2,0,60.34999847,0.05260000,7,31156
5.070419e+01,2,0,60.34999847,0.03920000,5,2973
5.118257e+01,2,0,60.34999847,0.04400000,7,15763
5.171163e+01,2,0,60.34999847,0.05040000,5,53665
5.219002e+01,2,0,60.34999847,0.81410003,7,32124
5.274409e+01,2,0,60.34999847,5.07929993,7,26370
5.319746e+01,2,0,60.34999847,10.29819965,7,22856
5.375154e+01,2,0,60.34999847,16.24209976,7,55069
5.420491e+01,2,0,60.79999924,19.68720055,7,6871
5.475899e+01,2,0,60.79999924,21.48049927,7,51380
5.528807e+01,2,0,60.79999924,22.59519958,5,4320
5.576647e+01,2,0,60.79999924,25.14439964,7,25298
5.629557e+01,2,0,60.79999924,28.71190071,5,57627
5.677398e+01,2,0,60.79999924,33.45989990,7,17804
5.732806e+01,2,0,60.79999924,32.48490143,7,46918
5.778146e+01,2,0,60.79999924,29.30310059,7,31662
5.833554e+01,2,0,60.79999924,4.98680019,7,40371
5.878893e+01,2,0,61.25000000,5.01779985,7,46341
5.934300e+01,2,0,61.25000000,5.02670002,7,21142
5.987209e+01,2,0,61.25000000,5.02470016,5,41812
6.035050e+01,2,0,61.25000000,5.02330017,7,26711
6.087957e+01,2,0,61.25000000,5.01900005,5,15548
6.135798e+01,2,0,61.25000000,5.01459980,7,52498
6.191208e+01,2,0,61.25000000,5.01070023,7,29862
6.236550e+01,2,0,61.25000000,5.00610018,7,3823
6.291958e+01,2,0,61.25000000,5.00000000,7,31501
6.337299e+01,2,0,61.25000000,4.99860001,7,8611
6.392708e+01,2,0,60.79999924,4.98820019,7,18198
6.445617e+01,2,0,61.25000000,4.98519993,5,4334
6.493459e+01,2,0,61.25000000,4.98299980,7,14651
6.546366e+01,2,0,59.90000153,4.98150015,5,16680
6.594205e+01,2,0,61.25000000,4.97259998,7,61316
6.649614e+01,2,0,61.25000000,4.97179985,7,3375
6.694953e+01,2,0,59.90000153,4.96560001,7,30031
6.750363e+01,2,0,61.25000000,4.96589994,7,61619
6.795704e+01,2,0,61.25000000,4.96460009,7,41395
6.851112e+01,2,0,61.25000000,4.95989990,7,46183
6.904021e+01,2,0,61.25000000,4.94929981,5,33662
6.951861e+01,2,0,61.25000000,4.94850016,7,35135
7.004769e+01,2,0,61.25000000,4.94719982,5,61688
7.052610e+01,2,0,61.25000000,4.94070005,7,17135
7.108017e+01,2,0,61.25000000,4.93510008,7,40301
7.153358e+01,2,0,61.25000000,4.93230009,7,45515
7.208766e+01,2,0,61.25000000,4.92819977,7,31425
7.254104e+01,2,0,61.25000000,4.92399979,7,55782
7.309513e+01,2,0,61.25000000,4.91520023,7,22427
7.362418e+01,2,0,61.25000000,4.91529989,5,6922
7.410257e+01,2,0,61.25000000,4.91459990,7,33367
7.463164e+01,2,0,61.25000000,4.91580009,5,42931
7.511005e+01,2,0,61.25000000,4.90689993,7,6026
7.566414e+01,2,0,61.25000000,4.90189981,7,34051
7.611754e+01,2,0,61.25000000,4.90080023,7,32299
7.667162e+01,2,0,61.25000000,4.89620018,7,5605
7.712502e+01,2,0,61.25000000,4.89440012,7,27639
7.767910e+01,2,0,61.25000000,4.89589977,7,11431
7.820817e+01,2,0,61.25000000,4.89160013,5,62161
7.868657e+01,2,0,61.25000000,4.88539982,7,51420
7.921563e+01,2,0,61.25000000,4.87890005,5,7396
7.969401e+01,2,0,61.25000000,4.87930012,7,24846
