Time,Mode,Status,Temperature_C,LoadCell,New_Data,Checksum
4.246308e+01,1,0,60.34999847,-0.03110000,7,54497
4.301712e+01,1,0,59.90000153,-0.03380000,7,64884
4.357118e+01,1,0,59.45000076,-0.03810000,7,27398
4.402457e+01,1,0,59.45000076,-0.04140000,7,63636
4.457860e+01,1,0,59.45000076,-0.03470000,7,45253
4.503197e+01,1,0,59.00000000,-0.03410000,7,35723
4.558604e+01,1,0,59.00000000,-0.03780000,7,29619
4.611512e+01,1,0,59.00000000,-0.03880000,5,42189
4.659351e+01,1,0,59.00000000,-0.04250000,7,29590
4.712257e+01,1,0,59.45000076,-0.03690000,5,29701
4.760094e+01,1,0,59.45000076,-0.03690000,7,10686
4.815500e+01,1,0,59.45000076,-0.03770000,7,40353
4.860838e+01,1,0,59.45000076,-0.04560000,7,32826
4.916243e+01,1,0,59.00000000,-0.04310000,7,27511
4.961581e+01,1,0,59.45000076,-0.03730000,7,63378
5.016983e+01,1,0,59.45000076,-0.03880000,7,18069
5.069889e+01,1,0,59.90000153,-0.03920000,5,57134
5.117729e+01,1,0,59.90000153,-0.04680000,7,51392
5.170635e+01,1,0,59.90000153,-0.04350000,5,36606
5.218474e+01,1,0,59.90000153,-0.04310000,7,40200
5.273880e+01,1,0,59.90000153,-0.04030000,7,18928
5.319219e+01,1,0,59.90000153,-0.03980000,7,40679
5.374626e+01,1,0,59.90000153,-0.03610000,7,55948
5.419964e+01,1,0,59.45000076,-0.03090000,7,6447
5.475369e+01,1,0,60.34999847,-0.03590000,7,8730
5.528276e+01,1,0,60.79999924,-0.03840000,5,15827
5.576115e+01,1,0,60.79999924,-0.04120000,7,23536
5.629018e+01,1,0,60.34999847,-0.04260000,5,14951
5.676860e+01,1,0,60.34999847,-0.04100000,7,10259
5.732264e+01,1,0,60.79999924,-0.04140000,7,30706
5.777604e+01,1,0,60.79999924,-0.04920000,7,53443
5.833008e+01,1,0,60.79999924,-0.04180000,7,42039
5.878348e+01,1,0,61.25000000,-0.03820000,7,48035
