Time,Mode,Status,Temperature_C,LoadCell,New_Data,Checksum
3.833700e+01,1,0,63.95000076,-0.01460000,7,19697
3.889034e+01,1,0,63.95000076,-0.01360000,7,45442
3.944444e+01,1,0,63.95000076,-0.01500000,7,10286
3.999857e+01,1,0,63.95000076,-0.01280000,7,8156
4.045200e+01,1,0,64.40000153,-0.01870000,7,60056
4.100612e+01,1,0,63.95000076,-0.01570000,7,28841
4.153521e+01,1,0,64.40000153,-0.01900000,5,19539
4.201362e+01,1,0,64.40000153,-0.01750000,7,18188
4.254272e+01,1,0,64.40000153,-0.02040000,5,38027
4.302112e+01,1,0,64.40000153,-0.01580000,7,162
4.329826e+01,2,0,63.95000076,-0.01780000,7,31988
4.382721e+01,2,0,63.50000000,-0.01780000,5,56814
4.430561e+01,2,0,64.40000153,-0.01970000,7,47464
4.483470e+01,2,0,64.40000153,-0.01600000,5,589
4.531312e+01,2,0,64.40000153,-0.01770000,7,39497
4.586720e+01,2,0,64.40000153,-0.02240000,7,37530
4.632060e+01,2,0,64.40000153,-0.01950000,7,53953
4.687470e+01,2,0,64.40000153,-0.02250000,7,58807
4.732808e+01,2,0,64.40000153,-0.02170000,7,22567
4.788218e+01,2,0,64.40000153,-0.02450000,7,40907
