Time,Mode,Status,Temperature_C,LoadCell,New_Data,Checksum
1.430724e+01,1,0,0.00000000,0.00090000,7,25594
1.486095e+01,1,0,0.00000000,0.00200000,5,4878
1.541479e+01,1,0,0.00000000,0.00100000,5,26518
1.594363e+01,1,0,0.00000000,0.00050000,5,38490
1.642187e+01,1,0,0.00000000,0.00110000,5,24140
1.697572e+01,1,0,0.00000000,0.00530000,5,35242
1.742906e+01,1,0,0.00000000,-0.00380000,5,23466
1.798277e+01,1,0,0.00000000,-0.00040000,5,8061
1.843611e+01,1,0,0.00000000,0.00140000,5,28642
1.898982e+01,1,0,0.00000000,0.00040000,5,47106
1.951866e+01,1,0,0.00000000,-0.00250000,5,16848
1.999688e+01,1,0,0.00000000,-0.00110000,5,60455
2.052573e+01,1,0,0.00000000,-0.00140000,5,3570
2.337968e+01,2,0,0.00000000,0.00710000,7,63307
2.393427e+01,2,0,0.00000000,0.00130000,5,58146
2.448811e+01,2,0,0.00000000,0.00370000,5,54984
2.494147e+01,2,0,0.00000000,-0.00250000,5,1501
2.549517e+01,2,0,0.00000000,0.00230000,5,14036
2.594851e+01,2,0,0.00000000,-0.00460000,5,16826
2.650222e+01,2,0,0.00000000,0.00110000,5,43906
2.703106e+01,2,0,0.00000000,-0.00490000,5,18430
2.750930e+01,2,0,0.00000000,0.00010000,5,47945
2.803816e+01,2,0,0.00000000,0.00040000,5,44388
