Time,Mode,Status,Temperature_C,LoadCell,New_Data,Checksum
1.670563e+02,1,0,0.00000000,-5.85979986,5,26455
1.676100e+02,1,0,0.00000000,-5.85349989,5,22199
1.681637e+02,1,0,0.00000000,-5.85750008,5,20836
1.687174e+02,1,0,0.00000000,-5.85519981,5,44206
1.692461e+02,1,0,0.00000000,-5.85599995,5,11099
1.697242e+02,1,0,0.00000000,-5.85690022,7,32681
1.702529e+02,1,0,0.00000000,-5.85629988,5,6494
1.707310e+02,1,0,0.00000000,-5.85690022,5,37075
1.712847e+02,1,0,0.00000000,-5.85279989,5,46878
1.717378e+02,1,0,0.00000000,-5.85550022,7,52227
1.722915e+02,1,0,0.00000000,-5.85480022,5,32567
1.727446e+02,1,0,0.00000000,-5.85659981,5,38683
1.732983e+02,1,0,0.00000000,-5.86219978,5,31426
1.738270e+02,1,0,0.00000000,-5.85470009,5,56152
1.743051e+02,1,0,0.00000000,-5.85430002,5,52976
1.748338e+02,1,0,0.00000000,-5.85500002,5,58638
